Date;Price;Open;High;Low;Vol.;Change %
07/24/2022;1,781.80;1,733.80;1,784.60;1,717.50;367.51K;2.70%
07/31/2022;1,791.20;1,782.50;1,812.00;1,770.00;781.83K;0.53%
8/7/2022;1,815.50;1,790.30;1,824.60;1,786.90;618.69K;1.36%
08/14/2022;1,762.90;1,818.90;1,818.90;1,759.10;633.02K;-2.90%
08/21/2022;1,749.80;1,760.60;1,778.80;1,740.20;695.24K;-0.74%
08/28/2022;1,722.60;1,748.40;1,757.90;1,699.10;836.92K;-1.55%
9/4/2022;1,728.60;1,724.20;1,740.50;1,701.70;718.77K;0.35%
9/11/2022;1,683.50;1,728.40;1,746.40;1,661.90;1.04M;-2.61%
09/18/2022;1,655.60;1,685.40;1,696.90;1,646.60;997.37K;-1.66%
09/25/2022;1,684.90;1,651.00;1,696.70;1,622.20;703.49K;1.77%
10/2/2022;1,722.80;1,682.40;1,751.60;1,679.50;35.83K;2.25%
10/9/2022;1,662.80;1,717.00;1,720.00;1,659.90;34.45K;-3.48%
10/16/2022;1,670.20;1,663.20;1,688.00;1,635.00;20.04K;0.45%
10/23/2022;1,659.10;1,676.50;1,693.00;1,655.20;64.84K;-0.66%
10/30/2022;1,690.60;1,661.50;1,700.40;1,632.40;97.62K;1.90%
11/6/2022;1,783.50;1,692.50;1,788.40;1,681.30;267.60K;5.50%
11/13/2022;1,769.00;1,783.50;1,806.00;1,764.00;228.38K;-0.81%
11/20/2022;1,768.80;1,766.60;1,776.00;1,733.50;262.76K;-0.01%
11/27/2022;1,824.70;1,771.10;1,833.80;1,753.30;141.56K;3.16%
12/4/2022;1,825.90;1,826.50;1,837.30;1,793.60;18.53K;0.07%
12/11/2022;1,815.60;1,823.80;1,851.40;1,797.60;19.61K;-0.56%
12/18/2022;1,819.80;1,818.10;1,848.40;1,808.40;19.97K;0.23%
12/25/2022;1,842.20;1,823.80;1,857.00;1,819.90;20.64K;1.23%
12/26/2022;1,826.20;1,808.20;1,841.90;1,804.20;491.18K;-0.87%
1/1/2023;1,885.90;1,847.20;1,891.10;1,846.10;57.96K;3.27%
1/2/2023;1,869.70;1,831.80;1,875.20;1,829.90;814.60K;-0.86%
1/8/2023;1,938.50;1,886.40;1,942.10;1,886.40;283.78K;3.68%
01/15/2023;1,944.90;1,939.90;1,955.50;1,915.50;164.67K;0.33%
01/22/2023;1,945.60;1,948.00;1,966.50;1,929.20;502.40K;0.04%
01/29/2023;1,893.30;1,962.00;1,992.10;1,891.30;24.86K;-2.69%
2/5/2023;1,891.20;1,890.00;1,919.00;1,880.40;26.60K;-0.11%
2/12/2023;1,866.90;1,892.50;1,898.00;1,844.60;24.52K;-1.28%
02/19/2023;1,833.90;1,867.10;1,873.00;1,832.70;23.52K;-1.77%
02/26/2023;1,871.40;1,834.00;1,880.80;1,827.60;58.18K;2.04%
3/5/2023;1,884.00;1,877.70;1,891.10;1,830.20;255.85K;0.67%
3/12/2023;1,990.20;1,893.80;2,010.40;1,892.50;326.68K;5.64%
03/19/2023;2,001.70;2,008.60;2,031.70;1,953.70;387.99K;0.58%
03/26/2023;2,004.10;2,000.30;2,022.80;1,962.70;382.53K;0.12%
4/2/2023;2,044.40;2,007.50;2,067.10;1,984.50;16.57K;2.01%
4/9/2023;2,034.40;2,032.20;2,080.80;2,015.00;27.63K;-0.49%
